商品名,JAN,Type,希望小売価格,UMAP1,UMAP2,Z_甘味,Z_渋味,Z_酸味,Z_ボディ
ホワイト　ヴィンヤード　モリオ　ムスカート,4935919197182,White,1900.0,3.7867978,4.2577252,0.8083832335329342,0.04924242424242424,0.6069004524886878,0.36253511159499185
ミュラー　トゥルガウ　フォン　レス,4935919198448,White,2000.0,5.95498,3.9089444,0.3262231297773117,0.08333333333333333,0.505316742081448,0.22124287509933044
メッツオ　ベルジュラック　ルージュ,4935919212762,Red,1800.0,9.811074,6.3760567,0.07119401749496398,0.6666666666666666,0.23461538461538464,0.3710863026501595
コトー　デュ　ポン　デュ　ガール　キュヴェ　デ　ガレ,4935919212915,Red,1500.0,8.659284,5.7659216,0.0718838820055741,0.5189393939393939,0.20192307692307696,0.34575882289445614
ペイ　ドック　メルロ,4935919213578,Red,1400.0,7.4602566,3.224576,0.092607411904302,0.5643939393939393,0.1622926093514329,0.3430811729303637
ペイ　ドック　ピノ　ノワール,4935919213813,Red,1600.0,8.8511715,4.7334642,0.044234112420320645,0.5037878787878788,0.14091251885369532,0.3336396265228054
ペイ　ドック　カベルネ　ソーヴィニヨン　キュヴェ　ド　ブリュ,4935919217569,Red,1600.0,8.976071,4.6761813,0.050222136372416445,0.7007575757575758,0.1505656108597285,0.3787910943381628
ペイ　ドック　ヴィオニエ,4935919219723,White,1600.0,5.5537515,3.6411693,0.12278208559838849,0.16287878787878787,0.3986802413273002,0.19183351935134485
ペイ　ドック　シャルドネ,4935919310598,White,1500.0,5.7844963,3.7457287,0.06566130411987085,0.20454545454545456,0.330580693815988,0.1868257864700827
ペイ　ドック　シャルドネ,4935919311861,White,1600.0,4.906498,3.7973828,0.05276083777146168,0.21590909090909088,0.36365007541478134,0.21327166053677957
ペイ　ドック　シラー,4935919311878,Red,1450.0,8.050854,5.424428,0.06174287369960539,0.7272727272727272,0.20384615384615387,0.384644448557576
ペイ　ドック　メルロ,4935919311885,Red,1450.0,8.5273,5.1981773,0.06012859074477772,0.6818181818181818,0.1442684766214178,0.37827014512531554
